Anon!	Goodbye!
Mercutio’s kinsman, noble County Paris.	Mercutio’s heir, noble Count Paris.
Oh, I have heard him speak of that same brother, And he did render him the most unnatural That lived amongst men.	Oh, I’ve heard him speak of that brother, and he made him the most unnatural man who lived among men.
My dearest cousin and my dearer lord?	My dearest cousin and my dearer lord?
Let them begin.	Let them start.
Make her amends, she weeps.	She weeps.
So is the bargain.	That’s the deal.
But all the story of the night told over, And all their minds transfigured so together, More witnesseth than fancy’s images And grows to something of great constancy, But, howsoever, strange and admirable.	But all the stories of the night were told and all their minds were rearranged together, more vivid than fancy’s images, and more vividly, but, whatever it is, strange and admirable.
Thou told’st me they were stol'n unto this wood.	You told me they were stolping into this wood.
Tis dangerous when the baser nature comes Between the pass and fell incensèd points Of mighty opposites.	It’s dangerous when the mighty opposites are surrounded by a sand.
I have professed me thy friend, and I confess me knit to thy deserving with cables of perdurable toughness.	I’ve told you to be your friend, and I confess I’m a man who’s a man who’s a man of a saneness.
Is he gone and hath nothing?	Is he gone and has nothing to do with?
Well, well.	Well, well.
Have an eye to Cinna.	Have a look at Cinna.
Stay here.	Stay here.
Troth, sir, I can yield you none without words, and words are grown so false, I am loath to prove reason with them.	I can’t give you any without words, and words are so false that I’m loath to prove that I’m not able to do anything wrong with them.
I’m out of patience.	I’m out of patience.
I go to take my stand To see him pass on to the Capitol.	I’ll stand to see him pass on to the Capitol.
But one cup.	Only one cup.
Be happy.	Be happy.
We’ll have thee, as our rarer monsters are, Painted on a pole, and underwrit, “Here may you see the tyrant.”      I will not yield, To kiss the ground before young Malcolm’s feet, And to be baited with the rabble’s curse.	We’ll have you, as our rarer monsters are, sprayed on a pole and underwrit, “Here may you see the tyrant.” I won’t give up, to kiss the
Calphurnia here, my wife, stays me at home.	Calphurnia here, my wife, stays at home.
Nay, as they dare.	No, they dare.
Hark!	Listen!
His name, my lord, is Tyrrel.	His name is Tyrrel, my lord.
I am sorry that I am deceived in him.	I’m sorry I’ve been fooled by him.
What is the reason of this terrible summons?	What’s the reason for this terrible summons?
Taste your legs, sir.	Taste your legs, sir.
It droppeth as the gentle rain from heaven Upon the place beneath.	It drops as gentle as the rain from heaven on the ground.
Now a little fire in a wild field were like an old lecher’s heart—a small spark, all the rest on ’s body cold.	Now a little fire in a wild field would look like an old lecher’s heart—a small spark, all the rest of the body cold.
Now all labor Mars what it does.	Now all the work is going on.
The people knows it, and have now received His accusations.	The people know it, and now he’s been accused.
My duty to you both, on equal love, Great kings of France and England.	I’m going to both of you, the great kings of France and England.
He speaks not true.	He’s not saying anything.
Ay, and brought off the field.	Yes, and he’s been brought off the field.
I say, O Caesar, Antony is dead.	Oh, Caesar, Antony is dead.
Honest Iago Hath ta'en order for ’t.	Honest Iago has ordered it.
By the mess, ere theise eyes of mine take themselves to slomber, ay’ll de gud service, or I’ll lig i' th' grund for it, ay, or go to death.	By the mess, my eyes are smuggling, and I’ll de-gud service, or I’ll smuggling the smuggling, or go to death.
Upon condition Publius shall not live, Who is your sister’s son, Mark Antony.	Upon condition that Publius will not live, who is your sister’s son, Mark Antony.
I chose her when I could not ask my father For his advice, nor thought I had one.	I chose her when I couldn’t ask my father for his advice, and I didn’t think I had one.
Tis a wild night.	It’s a wild night.
Lay her a-hold, a-hold!	Hold her on her, hold her on!
Welcome.	Welcome.
I have a head, sir, that will find out logs, And never trouble Peter for the matter.	I have a head that will find logs, and I’ll never bother Peter for the matter.
Have I thought long to see this morning’s face, And doth it give me such a sight as this?	Have I thought I’d be watching this morning for a long time, and does it give me such a sight as this?
But I am sent to find those persons whose names are here writ, and can never find what names the writing person hath here writ.	But I’m sent to find those people who have written this letter, and I can’t find what the author has written.
Your overkindness doth wring tears from me.	Your overkindness wringes tears from me.
Drunk?	Drunk?
Your cousin, my lady, takes great exceptions to your ill hours.	Your cousin, my lady, makes great exceptions to your poor hours.
A man may see how this world goes with no eyes.	A man can see how this world goes without any eyes.
I’ll not to bed tonight.	I won’t go to bed tonight.
But, good Laertes, Will you do this, keep close within your chamber.	But, good Laertes, you’ll do this, keep close to your room.
With all my heart, good youth.	With all my heart, good young man.
We’ll revenge his death.	We’ll revenge his death.
Is Romeo slaughtered, and is Tybalt dead?	Is Romeo killed, and Tybalt dead?
I am satisfied.	I’m satisfied.
And here stands all your state: Either be gone before the watch be set, Or by the break of day disguised from hence.	And here’s all your state: either go away before the watch is set, or hide from the sun.
I shall answer that better to the commonwealth than you can the getting up of the Negro’s belly.	I’ll answer that question to the commonwealth better than you can get up the Negro’s belly.
He were a brave monster indeed, if they were set in his tail.	He would be a brave monster if they were set in his tail.
Farewell, fair cruelty.	Goodbye, fair cruelty.
He smiled and said “The better for our purpose.” He was in the right, and so indeed it is.	He smiled and said, “The better for our purpose.” He was in the right place, and so is it.
When I like your favor, for God defend the lute should be like the case!	When I like your favor, because God defend the lute should be like the case!
Would I could answer This comfort with the like.	I wish I could answer this comfort with the like.
Away, away, be gone.	Go away, go away.
I’ll leave thee Now like a man of steel.	I’ll leave you now like a man of steel.
Give me thy hand.	Give me your hand.
Ha, ha, ha!	Ha, ha, ha!
Sweet Prince, why speak not you?	Sweet Prince, why don’t you say something?
Of love?	Of love?
Dost thou love me?	Do you love me?
Get thee to a nunnery.	Get to a nunnery.
Full oft ’tis seen, Our means secure us and our mere defects Prove our commodities.	We’ve got everything to do, and our simple defects are proof of our goods.
Your features, Lord warrant us!	Your features, Lord, warrant us!
Dead, dead?	Dead, dead?
Filths savor but themselves.	Filths only savor themselves.
